State,Administered,Percentage ,id,Popu,less18per,f18t29per,f30t39per,f40t49per,f50t64per,f65t74per,f75pper,less18,f18t29,f30t39,f40t49,f50t64,f65t74,f75p,less18D1per,f18t29D1per,f30t39D1per,f40t49D1per,f50t64D1per,f65t74D1per,f75pD1per,less18D1,f18t29D1,f30t39D1,f40t49D1,f50t64D1,f65t74D1,f75pD1,less18D2per,f18t29D2per,f30t39D2per,f40t49D2per,f50t64D2per,f65t74D2per,f75pD2per,less18D2,f18t29D2,f30t39D2,f40t49D2,f50t64D2,f65t74D2,f75pD2
Tennessee,1014351,14.85320187,47,6829174,0.00059,0.070781093,0.104776961,0.1091989,0.190017849,0.250016145,0.274613168,598.46709,71796.87247,106280.6153,110766.0137,192744.7953,253604.1271,278554.1413,0.76,0.63,0.61,0.62,0.64,0.72,0.67,454.8349884,45232.02965,64831.17531,68674.92851,123356.669,182594.9715,186631.2747,0.24,0.37,0.39,0.38,0.36,0.28,0.33,143.6321016,26564.84281,41449.43995,42091.08521,69388.12629,71009.15559,91922.86662
Texas,4333726,14.94600561,48,28995881,0.00059,0.070781093,0.104776961,0.1091989,0.190017849,0.250016145,0.274613168,2556.89834,306745.863,454074.6405,473238.1134,823485.2931,1083501.47,1190098.225,0.76,0.63,0.61,0.62,0.64,0.72,0.67,1943.242738,193249.8937,276985.5307,293407.6303,527030.5876,780121.0582,797365.8106,0.24,0.37,0.39,0.38,0.36,0.28,0.33,613.6556016,113495.9693,177089.1098,179830.4831,296454.7055,303380.4115,392732.4142
Utah,551742,17.20989483,49,3205958,0.00059,0.070781093,0.104776961,0.1091989,0.190017849,0.250016145,0.274613168,325.52778,39052.90181,57809.85007,60249.61965,104840.8281,137944.4081,151515.6184,0.76,0.63,0.61,0.62,0.64,0.72,0.67,247.4011128,24603.32814,35264.00854,37354.76418,67098.12998,99319.97383,101515.4643,0.24,0.37,0.39,0.38,0.36,0.28,0.33,78.1266672,14449.57367,22545.84153,22894.85547,37742.69812,38624.43427,50000.15406
Vermont,118184,18.94007747,50,623989,0.00059,0.070781093,0.104776961,0.1091989,0.190017849,0.250016145,0.274613168,69.72856,8365.192695,12382.96037,12905.56283,22457.06948,29547.90813,32454.88261,0.76,0.63,0.61,0.62,0.64,0.72,0.67,52.9937056,5270.071398,7553.605826,8001.448956,14372.52447,21274.49385,21744.77135,0.24,0.37,0.39,0.38,0.36,0.28,0.33,16.7348544,3095.121297,4829.354545,4904.113877,8084.545012,8273.414276,10710.11126
Virginia,1503786,17.61797964,51,8535519,0.00059,0.070781093,0.104776961,0.1091989,0.190017849,0.250016145,0.274613168,887.23374,106439.6167,157562.1272,164211.7775,285746.1812,375970.7792,412959.437,0.76,0.63,0.61,0.62,0.64,0.72,0.67,674.2976424,67056.95853,96112.89761,101811.302,182877.556,270698.961,276682.8228,0.24,0.37,0.39,0.38,0.36,0.28,0.33,212.9360976,39382.65819,61449.22962,62400.47544,102868.6252,105271.8182,136276.6142
Washington,1255764,16.49089488,53,7614893,0.00059,0.070781093,0.104776961,0.1091989,0.190017849,0.250016145,0.274613168,740.90076,88884.34847,131575.1358,137128.0478,238617.5743,313961.2748,344849.3299,0.76,0.63,0.61,0.62,0.64,0.72,0.67,563.0845776,55997.13954,80260.83283,85019.38966,152715.2475,226052.1179,231049.051,0.24,0.37,0.39,0.38,0.36,0.28,0.33,177.8161824,32887.20893,51314.30295,52108.65818,85902.32673,87909.15695,113800.2789
West Virginia,403532,22.51667971,54,1792147,0.00059,0.070781093,0.104776961,0.1091989,0.190017849,0.250016145,0.274613168,238.08388,28562.43602,42280.85667,44065.25064,76678.28268,100889.5152,110815.2008,0.76,0.63,0.61,0.62,0.64,0.72,0.67,180.9437488,17994.33469,25791.32257,27320.45539,49074.10092,72640.45093,74246.18453,0.24,0.37,0.39,0.38,0.36,0.28,0.33,57.1401312,10568.10133,16489.5341,16744.79524,27604.18177,28249.06425,36569.01626
Wisconsin,1040145,17.86443608,55,5822434,0.00059,0.070781093,0.104776961,0.1091989,0.190017849,0.250016145,0.274613168,613.68555,73622.59998,108983.2322,113582.6902,197646.1157,260053.0436,285637.5133,0.76,0.63,0.61,0.62,0.64,0.72,0.67,466.401018,46382.23799,66479.77164,70421.26789,126493.514,187238.1914,191377.1339,0.24,0.37,0.39,0.38,0.36,0.28,0.33,147.284532,27240.36199,42503.46056,43161.42226,71152.60163,72814.8522,94260.37939
Wyoming,105426,18.2158722,56,578759,0.00059,0.070781093,0.104776961,0.1091989,0.190017849,0.250016145,0.274613168,62.20134,7462.167511,11046.2159,11512.40326,20032.82176,26358.20214,28951.36782,0.76,0.63,0.61,0.62,0.64,0.72,0.67,47.2730184,4701.165532,6738.1917,7137.690023,12821.00593,18977.90554,19397.41644,0.24,0.37,0.39,0.38,0.36,0.28,0.33,14.9283216,2761.001979,4308.024201,4374.71324,7211.815833,7380.296601,9553.95138
Federated States of Micronesia,11119,10.6434,64,"1,04,468",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
