State,Administered,Percentage ,id,Popu,Whiteper,Blackper,Hispanicper,Asianper,American Indian_AlaskaNativeper,Native Hawaiian_Pacific Islanderper,Otherper,White,Black,Hispanic,Asian,American Indian_AlaskaNative,Native Hawaiian_Pacific Islander,Other,WhiteD1per,BlackD1per,HispanicD1per,AsianD1per,American Indian_AlaskaNativeD1per,Native Hawaiian_Pacific IslanderD1per,OtherD1per,WhiteD1,BlackD1,HispanicD1,AsianD1,American Indian_AlaskaNativeD1,Native Hawaiian_Pacific IslanderD1,OtherD1,WhiteD2per,BlackD2per,HispanicD2per,AsianD2per,American Indian_AlaskaNativeD2per,Native Hawaiian_Pacific IslanderD2per,OtherD2per,WhiteD2,BlackD2,HispanicD2,AsianD2,American Indian_AlaskaNativeD2,Native Hawaiian_Pacific IslanderD2,OtherD2
Utah,551742,17.20989483,49,3205958,0.87,0.01,0.05,0.02,0.01,0.01,0.04,480015.54,5517.42,27587.1,11034.84,5517.42,5517.42,22069.68,0.69,0.66,0.67,0.68,0.69,0.66,0.67,331210.7226,3641.4972,18483.357,7503.6912,3807.0198,3641.4972,14786.6856,0.31,0.34,0.33,0.32,0.31,0.34,0.33,148804.8174,1875.9228,9103.743,3531.1488,1710.4002,1875.9228,7282.9944
Vermont,118184,18.94007747,50,623989,0.97,0.01,0.01,0.01,0.01,0.01,0.01,114638.48,1181.84,1181.84,1181.84,1181.84,1181.84,1181.84,0.69,0.66,0.67,0.68,0.69,0.66,0.67,79100.5512,780.0144,791.8328,803.6512,815.4696,780.0144,791.8328,0.31,0.34,0.33,0.32,0.31,0.34,0.33,35537.9288,401.8256,390.0072,378.1888,366.3704,401.8256,390.0072
Virginia,1503786,17.61797964,51,8535519,0.71,0.13,0.06,0.04,0.017410539,0.01,0.05,1067688.06,195492.18,90227.16,60151.44,26181.72551,15037.86,75189.3,0.69,0.66,0.67,0.68,0.69,0.66,0.67,736704.7614,129024.8388,60452.1972,40902.9792,18065.3906,9924.9876,50376.831,0.31,0.34,0.33,0.32,0.31,0.34,0.33,330983.2986,66467.3412,29774.9628,19248.4608,8116.334908,5112.8724,24812.469
Washington,1255764,16.49089488,53,7614893,0.67,0.02,0.05,0.08,0.02,0.01,0.15,841361.88,25115.28,62788.2,100461.12,25115.28,12557.64,188364.6,0.69,0.66,0.67,0.68,0.69,0.66,0.67,580539.6972,16576.0848,42068.094,68313.5616,17329.5432,8288.0424,126204.282,0.31,0.34,0.33,0.32,0.31,0.34,0.33,260822.1828,8539.1952,20720.106,32147.5584,7785.7368,4269.5976,62160.318
West Virginia,403532,22.51667971,54,1792147,0.96,0.02,0.082609858,0.047667292,0.017410539,0.02620246,0.01,387390.72,8070.64,33335.72125,19235.27751,7025.709813,10573.53093,4035.32,0.69,0.66,0.67,0.68,0.69,0.66,0.67,267299.5968,5326.6224,22334.93324,13079.98871,4847.739771,6978.530414,2703.6644,0.31,0.34,0.33,0.32,0.31,0.34,0.33,120091.1232,2744.0176,11000.78801,6155.288803,2177.970042,3595.000516,1331.6556
Wisconsin,1040145,17.86443608,55,5822434,0.95,0.03,0.02,0.02,0.01,0.02620246,0.131396347,988137.75,31204.35,20802.9,20802.9,10401.45,27254.35734,136671.2538,0.69,0.66,0.67,0.68,0.69,0.66,0.67,681815.0475,20594.871,13937.943,14145.972,7177.0005,17987.87584,91569.74005,0.31,0.34,0.33,0.32,0.31,0.34,0.33,306322.7025,10609.479,6864.957,6656.928,3224.4495,9266.481496,45101.51375
Wyoming,105426,18.2158722,56,578759,0.653644605,0.064651112,0.082609858,0.047667292,0.017410539,0.02620246,0.131396347,68911.13614,6815.908134,8709.226897,5025.371884,1835.523534,2762.420506,13852.59132,0.69,0.66,0.67,0.68,0.69,0.66,0.67,47548.68394,4498.499368,5835.182021,3417.252881,1266.511238,1823.197534,9281.236184,0.31,0.34,0.33,0.32,0.31,0.34,0.33,21362.4522,2317.408766,2874.044876,1608.119003,569.0122955,939.222972,4571.355136
Federated States of Micronesia,11119,10.6434,64,"1,04,468",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guam,42671,27.27887,66,"1,68,801",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marshall Islands,6760,10.9032258,68,62000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Mariana Islands,15112,29.25337,69,"	51,659",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Puerto Rico,408058,12.77699116,72,3193694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
